name	locus_tag	ko_category
rpsI	VC0571	KO-a2.a2.a1:KO-a7.a2.a5
VC0573	VC0573	KO-a1.a2.a1:KO-a3.a2.a1
VC0574	VC0574	KO-a1.a2.a1:KO-a3.a2.a1:KO-a7.a2.b6
VC0575	VC0575	KO-a1.a2.a1:KO-a3.a2.a1
sspA	VC0576	KO-a7.a2.a2:KO-a7.a3.a1
VC0577	VC0577	KO-a7.a2.a2
VC0578	VC0578	None
VC0579	VC0579	KO-a7.a2.b4
VC0580	VC0580	KO-a8.a2.a4
VC0581	VC0581	KO-a8.a4.a2
VC0582	VC0582	KO-a7.a2.a6
VC0583	VC0583	None
VC0585	VC0585	KO-a1.a4.a1
VC0586	VC0586	KO-a1.a2.a7
VC0587	VC0587	KO-a7.a3.a1
VC0589	VC0589	KO-a7.a3.a1
VC0590	VC0590	KO-a7.a3.a1
panC	VC0591	KO-a1.a6.a1:KO-a1.a8.a5
panB	VC0592	KO-a1.a8.a5
VC0593	VC0593	KO-a1.a8.a8
VC0594	VC0594	KO-a2.a3.a7:KO-a7.a2.a3
VC0595	VC0595	KO-a7.a1.b1:KO-a7.a2.a7
VC0596	VC0596	KO-a7.a2.a1:KO-a7.a2.a2:KO-a7.a2.a6
VC0597	VC0597	KO-a8.a1.a2
VC0600	VC0600	None
VC0601	VC0601	KO-a8.a1.a1
VC0602	VC0602	KO-a1.a7.b7:KO-a7.a1.a5:KO-a7.a1.a7
VC0603	VC0603	KO-a8.a4.a1
VC0604	VC0604	KO-a1.a1.a2:KO-a1.a1.b1:KO-a1.a1.b2
VC0605	VC0605	KO-a8.a4.a2
VC0606	VC0606	KO-a8.a2.a1
VC0607	VC0607	None
VC0608	VC0608	KO-a3.a1.a1:KO-a7.a3.a1
VC0609	VC0609	KO-a3.a1.a1:KO-a7.a3.a1
VC0610	VC0610	KO-a3.a1.a1:KO-a7.a3.a1
VC0611	VC0611	None
VC0612	VC0612	KO-a1.a1.a9
VC0613	VC0613	KO-a1.a1.a9:KO-a1.a7.b8:KO-a7.a2.a9
VC0614	VC0614	KO-a1.a1.a9
VC0615	VC0615	None
VC0616	VC0616	KO-a4.a4.a1:KO-a7.a3.a1
VC0617	VC0617	KO-a4.a4.a1:KO-a7.a3.a1
VC0618	VC0618	KO-a4.a4.a1:KO-a7.a3.a1
VC0619	VC0619	KO-a4.a4.a1:KO-a7.a3.a1
VC0620	VC0620	KO-a4.a4.a1:KO-a7.a3.a1
VC0622	VC0622	KO-a7.a1.a2:KO-a7.a3.a4
VC0623	VC0623	KO-a7.a2.a6
VC0624	VC0624	None
VC0626	VC0626	KO-a1.a8.b1:KO-a7.a1.b1
VC0627	VC0627	KO-a8.a4.a1
VC0628	VC0628	KO-a7.a3.a1
VC0629	VC0629	KO-a7.a3.a1
VC0630	VC0630	None
VC0631	VC0631	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7:KO-a7.a2.b6
VC0632	VC0632	KO-a1.a7.b7:KO-a7.a1.a4:KO-a7.a1.a7
VC0633	VC0633	KO-a4.a4.a2:KO-a6.b1.a1:KO-a7.a3.a1
greA	VC0634	KO-a7.a2.a2
VC0635	VC0635	KO-a7.a2.a6
rrmJ	VC0636	KO-a7.a2.a6
VC0637	VC0637	KO-a7.a1.a4:KO-a7.a2.a9
VC0638	VC0638	KO-a1.a8.a8
glmM	VC0639	KO-a1.a1.a9
secG	VC0640	KO-a2.a3.a1:KO-a3.a1.a3:KO-a4.a4.a1:KO-a7.a3.a2
VC0641	VC0641	KO-a7.a2.a6
nusA	VC0642	KO-a7.a2.a2:KO-a7.a2.a6
infB	VC0643	KO-a7.a2.a8:KO-a7.a2.b6
rbfA	VC0644	KO-a7.a2.a6
truB	VC0645	KO-a7.a2.a7
rpsO	VC0646	KO-a2.a2.a1:KO-a7.a2.a5
VC0647	VC0647	KO-a2.a3.a7:KO-a7.a2.a3:KO-a7.a2.a7
VC0648	VC0648	KO-a8.a3.a5
VC0649	VC0649	None
vmrA	VC0650	None
VC0651	VC0651	KO-a7.a1.a4
VC0652	VC0652	KO-a7.a1.a4
VC0653	VC0653	KO-a4.a4.a2
VC0654	VC0654	KO-a8.a1.a8
VC0655	VC0655	KO-a8.a1.a1
VC0656	VC0656	KO-a2.a4.a1:KO-a2.a4.a4:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5
VC0657	VC0657	KO-a7.a2.a6
VC0658	VC0658	None
prfC	VC0659	KO-a7.a2.a8
VC0660	VC0660	KO-a7.a2.a6
VC0661	VC0661	KO-a7.a2.a7
VC0662	VC0662	KO-a8.a3.a1
prfB	VC0663	None
lysS	VC0664	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC0665	VC0665	KO-a4.a4.a2:KO-a7.a2.a1
VC0666	VC0666	None
VC0667	VC0667	None
VC0668	VC0668	KO-a2.a4.a4:KO-a7.a2.b5
VC0671	VC0671	KO-a2.a3.a7:KO-a7.a2.a3
VC0672	VC0672	KO-a3.a1.a2:KO-a7.a3.a1
VC0673	VC0673	KO-a8.a4.a2
VC0674	VC0674	KO-a8.a1.a1
thyA	VC0675	KO-a1.a4.a2:KO-a1.a8.a9
VC0676	VC0676	KO-a7.a3.a1:KO-a7.a3.a7
nhaR	VC0677	KO-a7.a2.a1
VC0678	VC0678	KO-a7.a2.a1
rpsT	VC0679	KO-a2.a2.a1:KO-a7.a2.a5
VC0680	VC0680	KO-a7.a1.a7:KO-a7.a3.a1
VC0681	VC0681	KO-a1.a8.a2
ileS	VC0682	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
lspA	VC0683	KO-a2.a3.a1:KO-a7.a1.a4
VC0684	VC0684	KO-a7.a2.a9
ispH	VC0685	KO-a1.a9.a1
VC0687	VC0687	None
VC0688	VC0688	None
VC0689	VC0689	None
VC0690	VC0690	KO-a1.a1.a9
anmK	VC0691	KO-a1.a1.a9
VC0692	VC0692	KO-a1.a1.a9:KO-a6.b1.a1
VC0693	VC0693	KO-a7.a3.a4
VC0694	VC0694	KO-a7.a1.a2:KO-a7.a3.a4
VC0695	VC0695	KO-a1.a5.b4:KO-a4.a4.a1
tyrA	VC0696	KO-a1.a5.b4:KO-a1.b0.c3
VC0697	VC0697	None
VC0698	VC0698	KO-a7.a2.a7
VC0700	VC0700	KO-a7.a1.a7
VC0701	VC0701	KO-a7.a2.a1
VC0702	VC0702	KO-a1.a4.a1
VC0703	VC0703	KO-a4.a4.a2
VC0704	VC0704	KO-a3.a1.a1:KO-a7.a3.a1
VC0705	VC0705	KO-a1.a5.b4
VC0706	VC0706	KO-a7.a2.a6
VC0708	VC0708	KO-a7.a3.a1
rluD	VC0709	KO-a7.a2.a6
VC0710	VC0710	KO-a8.a1.a1
VC0711	VC0711	KO-a7.a2.a9
VC0713	VC0713	None
VC0714	VC0714	None
VC0715	VC0715	KO-a1.a8.a2
VC0716	VC0716	None
VC0717	VC0717	KO-a7.a1.a4
rdgC	VC0718	KO-a7.a2.b5
VC0719	VC0719	KO-a3.a2.a1:KO-a7.a3.a4
phoR	VC0720	KO-a3.a2.a1:KO-a7.a1.a2:KO-a7.a3.a4
VC0721	VC0721	KO-a3.a1.a1:KO-a3.a2.a1:KO-a7.a3.a1
VC0722	VC0722	KO-a1.a4.a1
VC0723	VC0723	KO-a1.a2.a1:KO-a2.a3.a7:KO-a7.a2.a3
VC0724	VC0724	KO-a3.a1.a1:KO-a7.a3.a1
VC0725	VC0725	KO-a3.a1.a1:KO-a7.a3.a1
VC0726	VC0726	KO-a3.a1.a1:KO-a7.a3.a1
VC0727	VC0727	KO-a8.a3.a6
VC0728	VC0728	KO-a1.a2.a1:KO-a2.a3.a7:KO-a7.a2.a3
VC0730	VC0730	KO-a8.a3.a6
VC0731	VC0731	KO-a7.a3.a7
VC0732	VC0732	KO-a7.a2.a1
VC0734	VC0734	KO-a1.a1.b0:KO-a1.a1.b1
VC0736	VC0736	KO-a1.a1.b1
VC0737	VC0737	KO-a8.a1.a2
queA	VC0739	KO-a7.a2.a7
tgt	VC0741	KO-a7.a2.a7
yajC	VC0742	KO-a2.a3.a1:KO-a3.a1.a3:KO-a4.a4.a1:KO-a7.a3.a2
secD	VC0743	KO-a2.a3.a1:KO-a3.a1.a3:KO-a7.a3.a2
secF	VC0744	KO-a2.a3.a1:KO-a3.a1.a3:KO-a7.a3.a2
VC0745	VC0745	KO-a1.a1.b5:KO-a1.b0.c0
VC0746	VC0746	KO-a7.a2.a7
VC0747	VC0747	KO-a7.a2.a1
VC0748	VC0748	KO-a1.a8.a1:KO-a2.a3.a5:KO-a7.a2.a7:KO-a7.a2.b6:KO-a7.a3.a8
VC0749	VC0749	KO-a8.a1.a3
VC0750	VC0750	KO-a7.a2.a7
hscB	VC0751	KO-a7.a2.a9:KO-a7.a2.b6
hscA	VC0752	KO-a7.a2.a9
VC0753	VC0753	KO-a8.a1.a3
VC0754	VC0754	None
VC0755	VC0755	KO-a1.a6.a7:KO-a7.a1.a4
ndk	VC0756	KO-a1.a4.a1:KO-a1.a4.a2:KO-a7.a2.b0
VC0757	VC0757	KO-a7.a2.a6
VC0758	VC0758	KO-a8.a3.a5
ispG	VC0759	KO-a1.a9.a1
hisS	VC0760	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC0761	VC0761	None
VC0762	VC0762	KO-a7.a3.a1
engA	VC0763	KO-a7.a2.a6
VC0764	VC0764	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC0765	VC0765	None
xseA	VC0766	KO-a2.a4.a4:KO-a7.a2.b5
VC0767	VC0767	KO-a1.a4.a1:KO-a7.a3.a7
guaA	VC0768	KO-a1.a4.a1:KO-a7.a1.a4
VC0769	VC0769	None
VC0770	VC0770	KO-a8.a4.a2
VC0771	VC0771	KO-a1.a9.c0:KO-a7.a1.a9
VC0772	VC0772	KO-a1.a9.c0:KO-a7.a1.a9
VC0773	VC0773	KO-a1.a8.b2:KO-a1.a9.c0
VC0774	VC0774	KO-a1.a9.c0
VC0775	VC0775	KO-a1.a9.c0:KO-a7.a1.a9
VC0776	VC0776	KO-a3.a1.a1:KO-a7.a3.a1
VC0777	VC0777	KO-a3.a1.a1:KO-a7.a3.a1
VC0778	VC0778	KO-a3.a1.a1:KO-a7.a3.a1
VC0779	VC0779	KO-a3.a1.a1:KO-a7.a3.a1
VC0780	VC0780	KO-a1.a9.c0:KO-a7.a1.a9
VC0781	VC0781	None
VC0783	VC0783	KO-a8.a1.a1
VC0784	VC0784	KO-a8.a3.a1
VC0786	VC0786	KO-a1.a5.b2
VC0787	VC0787	None
VC0788	VC0788	None
VC0789	VC0789	None
VC0790	VC0790	KO-a3.a2.a1:KO-a7.a3.a4
VC0791	VC0791	KO-a3.a2.a1:KO-a7.a1.a2:KO-a7.a3.a4
VC0792	VC0792	KO-a1.a1.b0:KO-a1.a1.b3:KO-a1.b1.a1:KO-a7.a3.a1
oadA-2	VC0793m	None
VC0794	VC0794	KO-a1.a1.b0:KO-a7.a3.a1
VC0795	VC0795	None
VC0796	VC0796	KO-a3.a2.a1
VC0797	VC0797	KO-a3.a2.a1
VC0798	VC0798	KO-a3.a2.a1
VC0799	VC0799	KO-a3.a2.a1
VC0800	VC0800	KO-a3.a2.a1
VC0801	VC0801	KO-a3.a2.a1
VC0802	VC0802	KO-a8.a4.a2
VC0803	VC0803	KO-a7.a2.a7
VC0804	VC0804	KO-a8.a1.a3
VC0806	VC0806	KO-a8.a4.a2
VC0807	VC0807	None
VC0808	VC0808	None
VC0809	VC0809	None
VC0810	VC0810	None
VC0811	VC0811	None
VC0812	VC0812	None
VC0813	VC0813	None
VC0814	VC0814	None
VC0815	VC0815	KO-a7.a1.a2:KO-a7.a3.a8
VC0816	VC0816	None
VC0817	VC0817	None
VC0818	VC0818	None
VC0819	VC0819	KO-a1.a1.a1:KO-a1.a1.a7:KO-a1.a1.b0:KO-a1.a3.a3:KO-a1.a3.a9:KO-a1.a5.a4:KO-a1.a5.a7:KO-a1.a5.a9:KO-a1.a5.b0:KO-a1.a5.b3:KO-a1.a6.a1:KO-a1.a8.a5:KO-a1.a9.a9:KO-a1.b1.a4
VC0820	VC0820	None
VC0821	VC0821	None
VC0823	VC0823	None
tpx	VC0824	KO-a8.a1.a1
VC0825	VC0825	KO-a4.a4.a2:KO-a7.a3.a2
VC0826	VC0826	KO-a4.a4.a2:KO-a7.a3.a2
VC0827	VC0827	KO-a4.a4.a2:KO-a7.a3.a2
VC0828	VC0828	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a2
VC0829	VC0829	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a2
VC0830	VC0830	KO-a4.a4.a2:KO-a7.a3.a2
VC0831	VC0831	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a2
VC0832	VC0832	KO-a4.a4.a2:KO-a7.a3.a2
VC0833	VC0833	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a2
VC0834	VC0834	KO-a4.a4.a2:KO-a7.a3.a2
VC0835	VC0835	KO-a4.a4.a2:KO-a7.a3.a2
VC0836	VC0836	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a2
VC0837	VC0837	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a2
VC0838	VC0838	KO-a4.a4.a2:KO-a7.a2.a1
VC0839	VC0839	KO-a7.a1.a4:KO-a7.a3.a2
VC0840	VC0840	KO-a4.a4.a2
VC0841	VC0841	KO-a4.a4.a2
VC0842	VC0842	None
VC0843	VC0843	None
VC0844	VC0844	KO-a4.a4.a2
VC0845	VC0845	KO-a4.a4.a2
VC0846	VC0846	None
VC0847	VC0847	None
tmRNA	tmRNA	None
smpB	VC0848	KO-a8.a2.a3
VC0849	VC0849	None
VC0850	VC0850	KO-a8.a4.a2
VC0851	VC0851	KO-a7.a3.a1
VC0852	VC0852	KO-a7.a2.b5
ppnK	VC0853	KO-a1.a8.a4
VC0854	VC0854	KO-a7.a2.a9:KO-a7.a2.b6
dnaK	VC0855	KO-a2.a3.a7:KO-a7.a2.a3:KO-a7.a2.a9:KO-a7.a2.b6:KO-a7.a3.a7
VC0856	VC0856	KO-a7.a2.a9:KO-a7.a2.b6
VC0857	VC0857	KO-a7.a3.a2:KO-a7.a3.a5
VC0858	VC0858	KO-a7.a3.a2
VC0859	VC0859	KO-a7.a3.a2:KO-a7.a3.a5
VC0860	VC0860	None
VC0861	VC0861	KO-a7.a3.a2:KO-a7.a3.a5
VC0862	VC0862	None
VC0863	VC0863	KO-a8.a1.a8
VC0864	VC0864	KO-a7.a2.a7
VC0866	VC0866	KO-a7.a1.a7
VC0868	VC0868	None
VC0869	VC0869	KO-a1.a4.a1
VC0870	VC0870	KO-a8.a2.a4
VC0871	VC0871	None
VC0872	VC0872	None
VC0873	VC0873	None
VC0875	VC0875	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC0876	VC0876	KO-a7.a2.a7
rpmE2	VC0878	KO-a2.a2.a1:KO-a7.a2.a5
rpmJ	VC0879	KO-a2.a2.a1:KO-a7.a2.a5
VC0880	VC0880	KO-a8.a1.a8
VC0881	VC0881	KO-a8.a4.a2
VC0882	VC0882	None
VC0884	VC0884	KO-a7.a2.a6
VC0885	VC0885	None
VC0886	VC0886	None
VC0887	VC0887	None
VC0888	VC0888	KO-a7.a2.a7
VC0889	VC0889	KO-a1.a8.a1:KO-a1.a9.a1
VC0890	VC0890	KO-a1.a9.a1:KO-a7.a1.b0
VC0891	VC0891	KO-a2.a4.a4:KO-a7.a2.b5
VC0892	VC0892	KO-a3.a2.a1:KO-a4.a5.a1:KO-a4.a5.a2:KO-a7.a3.a1:KO-a7.a3.a5
motB	VC0893	KO-a4.a5.a1:KO-a4.a5.a2:KO-a7.a3.a1:KO-a7.a3.a5
VC0894	VC0894	KO-a1.a8.a1:KO-a2.a3.a5:KO-a7.a2.a7
VC0896	VC0896	KO-a7.a2.a1
VC0897	VC0897	None
xni	VC0898	KO-a8.a2.a4
VC0899	VC0899	KO-a1.a4.a1:KO-a1.a4.a2
VC0900	VC0900	None
VC0901	VC0901	None
queF	VC0902	KO-a1.a8.a8:KO-a7.a2.a7
VC0903	VC0903	KO-a8.a3.a3
VC0904	VC0904	None
metQ	VC0905	KO-a3.a1.a1:KO-a7.a3.a1
VC0906	VC0906	KO-a3.a1.a1:KO-a7.a3.a1
metN	VC0907	KO-a3.a1.a1:KO-a7.a3.a1
VC0908	VC0908	KO-a1.a7.b4:KO-a7.a1.a6
treR	VC0909	KO-a7.a2.a1
VC0910	VC0910	KO-a1.a1.a8:KO-a3.a1.a2:KO-a7.a3.a1
VC0911	VC0911	KO-a1.a1.a8
VC0913	VC0913	KO-a6.b1.a1:KO-a6.b1.a3:KO-a7.a2.b4:KO-a7.a3.a1:KO-a7.a3.b8
VC0914	VC0914	KO-a8.a3.a1
VC0916	VC0916	KO-a4.a4.a2
VC0917	VC0917	KO-a1.a1.a9:KO-a1.a7.b6:KO-a3.a2.a1:KO-a4.a4.a2
wecC	VC0918	KO-a1.a1.a9:KO-a1.a7.b6:KO-a3.a2.a1:KO-a4.a4.a2
VC0919	VC0919	KO-a1.a2.a8:KO-a1.a5.a3:KO-a4.a4.a2
VC0920	VC0920	KO-a4.a4.a2:KO-a7.a1.a5
VC0921	VC0921	KO-a4.a4.a2
VC0922	VC0922	KO-a4.a4.a2
VC0923	VC0923	KO-a1.a2.a8:KO-a1.a5.a3:KO-a4.a4.a2
VC0924	VC0924	KO-a1.a5.b2:KO-a4.a4.a2
VC0925	VC0925	KO-a4.a4.a2:KO-a7.a1.a5
VC0926	VC0926	KO-a4.a4.a2
VC0927	VC0927	KO-a4.a4.a2:KO-a7.a1.a5
VC0928	VC0928	KO-a4.a4.a2
VC0929	VC0929	None
VC0930	VC0930	KO-a4.a4.a2
VC0931	VC0931	None
VC0932	VC0932	None
VC0934	VC0934	KO-a4.a4.a2
VC0935	VC0935	KO-a4.a4.a2:KO-a7.a3.a1
VC0936	VC0936	KO-a4.a4.a2:KO-a7.a3.a1
VC0937	VC0937	KO-a4.a4.a2:KO-a7.a3.a1
VC0938	VC0938	KO-a4.a4.a2
VC0939	VC0939	KO-a4.a4.a2
VC0940	VC0940	None
glyA	VC0941	KO-a1.a1.b1:KO-a1.a2.a6:KO-a1.a5.a2:KO-a1.a6.a5:KO-a1.a8.a9
VC0942	VC0942	None
VC0943	VC0943	KO-a1.a8.a7
lipB	VC0944	KO-a1.a8.a7
VC0945	VC0945	KO-a8.a4.a2
VC0947	VC0947	KO-a1.a7.b7:KO-a7.a1.a4:KO-a7.a1.a7
VC0948	VC0948	KO-a8.a3.a5
VC0949	VC0949	KO-a7.a2.b4
VC0950	VC0950	KO-a1.a7.b7:KO-a6.b1.a1:KO-a7.a1.a7
VC0951	VC0951	KO-a7.a2.a6
VC0952	VC0952	KO-a7.a2.a6
holA	VC0953	KO-a2.a4.a1:KO-a2.a4.a4:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5
VC0954	VC0954	KO-a7.a3.a1
leuS	VC0956	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7:KO-a7.a2.b6
VC0957	VC0957	None
lnt	VC0958	KO-a8.a1.a1
VC0959	VC0959	KO-a7.a3.a1
VC0960	VC0960	KO-a7.a2.a6
VC0961	VC0961	KO-a8.a3.a4
VC0962	VC0962	KO-a7.a2.a7
VC0963	VC0963	KO-a1.a8.b2
VC0964	VC0964	KO-a1.a1.a1:KO-a1.a1.a8:KO-a1.a1.a9:KO-a3.a1.a2:KO-a4.a4.a2:KO-a7.a3.a1
VC0965	VC0965	KO-a3.a1.a2:KO-a7.a3.a1
VC0966	VC0966	KO-a3.a1.a2:KO-a7.a3.a1
VC0968	VC0968	KO-a1.a2.a8:KO-a1.a5.a3
VC0969	VC0969	KO-a8.a1.a6
VC0970	VC0970	KO-a7.a2.b4
ligA	VC0971	KO-a2.a4.a1:KO-a2.a4.a2:KO-a2.a4.a3:KO-a2.a4.a4:KO-a7.a2.b3:KO-a7.a2.b5
VC0972	VC0972	None
VC0973	VC0973	None
VC0974	VC0974	KO-a7.a2.a1:KO-a7.a3.b8
VC0975	VC0975	KO-a8.a3.a5
VC0976	VC0976	None
VC0977	VC0977	KO-a7.a2.a9
VC0979	VC0979	None
VC0980	VC0980	None
VC0981	VC0981	KO-a8.a4.a2
VC0982	VC0982	KO-a8.a2.a3
VC0983	VC0983	KO-a4.a4.a2
VC0984	VC0984	KO-a4.a4.a2
VC0985	VC0985	KO-a7.a1.a3:KO-a7.a2.a9:KO-a7.a2.b0:KO-a7.a2.b2:KO-a7.a2.b6:KO-a7.a3.a7
adk	VC0986	KO-a1.a4.a1:KO-a1.a8.a1:KO-a7.a3.a7
hemH	VC0987	KO-a1.a8.b1
tppB	VC0988	KO-a8.a3.a1
rfaH	VC0990	KO-a7.a2.a1
asnB	VC0991	KO-a1.a5.a1:KO-a7.a1.a4
VC0992	VC0992	None
VC0993	VC0993	KO-a7.a2.a1
nagA	VC0994	KO-a1.a1.a9
VC0995	VC0995	KO-a1.a1.a9:KO-a3.a1.a2:KO-a7.a3.a1
VC0997	VC0997	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC0998	VC0998	KO-a8.a3.a3
truA	VC0999	KO-a7.a2.a7
VC1000	VC1000	KO-a1.a1.b0:KO-a1.a1.b2:KO-a1.a3.a1
VC1001	VC1001	KO-a1.a8.a8
VC1002	VC1002	KO-a8.a4.a1
VC1003	VC1003	KO-a8.a4.a1
VC1004	VC1004	KO-a1.a4.a1:KO-a1.a5.a1:KO-a7.a1.a4
VC1005	VC1005	KO-a7.a3.a1
VC1006	VC1006	KO-a7.a2.a7
VC1008	VC1008	KO-a4.a5.a2:KO-a7.a3.a1:KO-a7.a3.a5
VC1009	VC1009	None
VC1010	VC1010	KO-a1.a1.b0
VC1011	VC1011	KO-a2.a4.a2:KO-a7.a2.b5
VC1012	VC1012	KO-a8.a1.a3
VC1013	VC1013	KO-a8.a1.a3
rnfD	VC1014	KO-a8.a1.a1
VC1015	VC1015	KO-a8.a1.a1
VC1016	VC1016	KO-a8.a1.a1
VC1017	VC1017	KO-a8.a1.a3
uvrB	VC1018	None
VC1021	VC1021	KO-a3.a2.a1:KO-a4.a4.a1:KO-a4.a4.a2:KO-a7.a3.a4
VC1022	VC1022	KO-a3.a2.a1:KO-a4.a4.a1:KO-a4.a4.a2:KO-a7.a3.a4
VC1023	VC1023	None
moaA	VC1024	KO-a1.a8.a8:KO-a2.a3.a5
VC1025	VC1025	KO-a1.a8.a8:KO-a2.a3.a5
moaC	VC1026	KO-a1.a8.a8:KO-a2.a3.a5
moaD	VC1027	KO-a2.a3.a5
VC1028	VC1028	KO-a1.a8.a8:KO-a2.a3.a5
VC1029	VC1029	None
VC1031	VC1031	None
zntA	VC1033	KO-a8.a1.a1
VC1034	VC1034	KO-a1.a4.a2
VC1035	VC1035	None
metG	VC1036	KO-a1.a6.a4:KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC1037	VC1037	KO-a7.a2.b4:KO-a7.a2.b6
VC1038	VC1038	KO-a1.a4.a2
VC1039	VC1039	KO-a8.a3.a5
VC1040	VC1040	KO-a1.a8.b1
VC1041	VC1041	KO-a3.a2.a1
VC1042	VC1042	KO-a7.a3.a1
VC1043	VC1043	KO-a7.a3.a1
VC1044	VC1044	None
VC1045	VC1045	KO-a7.a2.a2
fadI	VC1046	KO-a1.a3.a3:KO-a1.a3.b5:KO-a1.a5.a4:KO-a1.a9.b0:KO-a1.b1.a1:KO-a1.b1.a9
fadJ	VC1047	KO-a1.a1.b2:KO-a1.a1.b3:KO-a1.a3.a3:KO-a1.a5.a4:KO-a1.a5.a7:KO-a1.a5.b3:KO-a1.a6.a1:KO-a1.a9.a9:KO-a1.a9.b0:KO-a1.b1.a1:KO-a1.b1.b2
VC1048	VC1048	None
VC1049	VC1049	KO-a4.a4.a2:KO-a7.a2.a1
VC1050	VC1050	None
VC1051	VC1051	None
VC1052	VC1052	KO-a8.a4.a2
VC1053	VC1053	KO-a1.a4.a1:KO-a7.a3.a7
VC1054	VC1054	KO-a2.a4.a1:KO-a2.a4.a4:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5
VC1055	VC1055	KO-a8.a2.a5
recR	VC1056	KO-a2.a4.a5:KO-a7.a2.b5
VC1057	VC1057	KO-a8.a4.a2
VC1058	VC1058	KO-a8.a4.a2
VC1059	VC1059	None
VC1060	VC1060	KO-a7.a1.a4
VC1061	VC1061	KO-a1.a2.a8:KO-a1.a5.a3
VC1062	VC1062	KO-a7.a2.a1
VC1063	VC1063	KO-a1.a3.b6:KO-a7.a1.a8
VC1064	VC1064	KO-a8.a4.a1
VC1065	VC1065	KO-a8.a2.a4
VC1066	VC1066	None
VC1067	VC1067	KO-a4.a4.a2
4.5s RNA	4.5s RNA	None
VC1068	VC1068	KO-a7.a2.a1
VC1069	VC1069	KO-a8.a1.a1
VC1070	VC1070	None
VC1071	VC1071	KO-a7.a3.a1
VC1073	VC1073	KO-a8.a1.a1
VC1074	VC1074	KO-a8.a4.a2
VC1075	VC1075	None
VC1076	VC1076	None
VC1077	VC1077	None
VC1078	VC1078	None
VC1079	VC1079	KO-a7.a2.a6:KO-a7.a2.a7
VC1080	VC1080	KO-a3.a2.a1:KO-a7.a3.a4
VC1081	VC1081	None
VC1082	VC1082	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a4:KO-a7.a3.a5
VC1083	VC1083	KO-a4.a5.a1:KO-a7.a3.a5
VC1084	VC1084	KO-a7.a1.a2:KO-a7.a3.a4
VC1085	VC1085	None
VC1086	VC1086	None
VC1087	VC1087	None
VC1088	VC1088	None
VC1089	VC1089	None
VC1091	VC1091	KO-a3.a1.a1:KO-a4.a4.a1:KO-a6.b1.a1:KO-a7.a3.a1
oppB	VC1092	KO-a3.a1.a1:KO-a4.a4.a1:KO-a6.b1.a1:KO-a7.a3.a1
VC1093	VC1093	KO-a3.a1.a1:KO-a4.a4.a1:KO-a6.b1.a1:KO-a7.a3.a1
oppD	VC1094	KO-a3.a1.a1:KO-a4.a4.a1:KO-a6.b1.a1:KO-a7.a3.a1
VC1095	VC1095	KO-a3.a1.a1:KO-a4.a4.a1:KO-a6.b1.a1:KO-a7.a3.a1
VC1096	VC1096	KO-a8.a1.a1
VC1097	VC1097	KO-a1.a1.b0:KO-a1.a1.b2:KO-a1.a2.a6:KO-a1.a6.a2
VC1098	VC1098	KO-a1.a1.b0:KO-a1.a1.b2:KO-a1.a2.a6:KO-a1.a6.a2
VC1099	VC1099	KO-a8.a4.a2
VC1100	VC1100	None
VC1101	VC1101	KO-a7.a3.a1
VC1102	VC1102	KO-a7.a3.a1
VC1103	VC1103	KO-a7.a3.a1
VC1104	VC1104	KO-a4.a4.a2
VC1105	VC1105	KO-a7.a2.a7
VC1106	VC1106	KO-a8.a4.a2
lolA	VC1107	KO-a8.a3.a5
VC1108	VC1108	KO-a8.a2.a4
VC1110	VC1110	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC1111	VC1111	KO-a1.a8.a6:KO-a7.a1.b1
VC1112	VC1112	KO-a1.a8.a6
VC1113	VC1113	KO-a1.a8.a6:KO-a7.a1.b1
VC1114	VC1114	KO-a1.a8.a6
bioD	VC1115	KO-a1.a8.a6
VC1116	VC1116	None
VC1117	VC1117	KO-a7.a1.a4
VC1118	VC1118	None
VC1119	VC1119	None
VC1120	VC1120	KO-a8.a4.a2
VC1121	VC1121	KO-a8.a4.a2
VC1122	VC1122	KO-a8.a1.a1
VC1123	VC1123	None
